"export-plots data (NetLogo 6.2.2)"
"Chapter 5-Red Cross Parcels.nlogo"
"10/12/2022 15:12:35:743 +0800"

"MODEL SETTINGS"
"number-of-rounds","%smokers","initialchocs","reach","number-of-runs","pricesetting"
"5","70","50","200","5","""Auctioneer"""

"""Initial Excess Demand & Supply"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","6920","0","10","true","""demand""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""supply""","true","0","1","15","5533"
"""demand""","true","0","1","0","14"

"""supply""",,,,"""demand"""
"x","y","color","pen down?","x","y","color","pen down?"
"432","0.1","15","true","35180","0.1","0","true"
"952","0.2","15","true","15359","0.2","0","true"
"1375","0.30000000000000004","15","true","8995","0.30000000000000004","0","true"
"1748","0.4","15","true","5976","0.4","0","true"
"2094","0.5","15","true","4303","0.5","0","true"
"2420","0.6","15","true","3264","0.6","0","true"
"2683","0.7","15","true","2563","0.7","0","true"
"2924","0.7999999999999999","15","true","2074","0.7999999999999999","0","true"
"3143","0.8999999999999999","15","true","1733","0.8999999999999999","0","true"
"3337","0.9999999999999999","15","true","1479","0.9999999999999999","0","true"
"3502","1.0999999999999999","15","true","1274","1.0999999999999999","0","true"
"3644","1.2","15","true","1107","1.2","0","true"
"3773","1.3","15","true","971","1.3","0","true"
"3888","1.4000000000000001","15","true","856","1.4000000000000001","0","true"
"3984","1.5000000000000002","15","true","763","1.5000000000000002","0","true"
"4083","1.6000000000000003","15","true","688","1.6000000000000003","0","true"
"4168","1.7000000000000004","15","true","626","1.7000000000000004","0","true"
"4245","1.8000000000000005","15","true","572","1.8000000000000005","0","true"
"4313","1.9000000000000006","15","true","521","1.9000000000000006","0","true"
"4371","2.0000000000000004","15","true","477","2.0000000000000004","0","true"
"4438","2.1000000000000005","15","true","439","2.1000000000000005","0","true"
"4486","2.2000000000000006","15","true","406","2.2000000000000006","0","true"
"4533","2.3000000000000007","15","true","374","2.3000000000000007","0","true"
"4584","2.400000000000001","15","true","347","2.400000000000001","0","true"
"4626","2.500000000000001","15","true","321","2.500000000000001","0","true"
"4667","2.600000000000001","15","true","301","2.600000000000001","0","true"
"4702","2.700000000000001","15","true","280","2.700000000000001","0","true"
"4741","2.800000000000001","15","true","258","2.800000000000001","0","true"
"4774","2.9000000000000012","15","true","243","2.9000000000000012","0","true"
"4800","3.0000000000000013","15","true","227","3.0000000000000013","0","true"
"4837","3.1000000000000014","15","true","214","3.1000000000000014","0","true"
"4856","3.2000000000000015","15","true","197","3.2000000000000015","0","true"
"4885","3.3000000000000016","15","true","190","3.3000000000000016","0","true"
"4912","3.4000000000000017","15","true","176","3.4000000000000017","0","true"
"4939","3.5000000000000018","15","true","166","3.5000000000000018","0","true"
"4957","3.600000000000002","15","true","158","3.600000000000002","0","true"
"4978","3.700000000000002","15","true","147","3.700000000000002","0","true"
"5004","3.800000000000002","15","true","140","3.800000000000002","0","true"
"5023","3.900000000000002","15","true","133","3.900000000000002","0","true"
"5045","4.000000000000002","15","true","124","4.000000000000002","0","true"
"5067","4.100000000000001","15","true","118","4.100000000000001","0","true"
"5082","4.200000000000001","15","true","114","4.200000000000001","0","true"
"5099","4.300000000000001","15","true","107","4.300000000000001","0","true"
"5115","4.4","15","true","102","4.4","0","true"
"5130","4.5","15","true","98","4.5","0","true"
"5140","4.6","15","true","92","4.6","0","true"
"5156","4.699999999999999","15","true","91","4.699999999999999","0","true"
"5167","4.799999999999999","15","true","85","4.799999999999999","0","true"
"5177","4.899999999999999","15","true","81","4.899999999999999","0","true"
"5196","4.999999999999998","15","true","77","4.999999999999998","0","true"
"5212","5.099999999999998","15","true","74","5.099999999999998","0","true"
"5220","5.1999999999999975","15","true","72","5.1999999999999975","0","true"
"5231","5.299999999999997","15","true","69","5.299999999999997","0","true"
"5243","5.399999999999997","15","true","65","5.399999999999997","0","true"
"5250","5.4999999999999964","15","true","63","5.4999999999999964","0","true"
"5261","5.599999999999996","15","true","61","5.599999999999996","0","true"
"5270","5.699999999999996","15","true","56","5.699999999999996","0","true"
"5286","5.799999999999995","15","true","55","5.799999999999995","0","true"
"5297","5.899999999999995","15","true","54","5.899999999999995","0","true"
"5308","5.999999999999995","15","true","52","5.999999999999995","0","true"
"5316","6.099999999999994","15","true","50","6.099999999999994","0","true"
"5326","6.199999999999994","15","true","47","6.199999999999994","0","true"
"5332","6.299999999999994","15","true","44","6.299999999999994","0","true"
"5341","6.399999999999993","15","true","44","6.399999999999993","0","true"
"5345","6.499999999999993","15","true","41","6.499999999999993","0","true"
"5356","6.5999999999999925","15","true","38","6.5999999999999925","0","true"
"5365","6.699999999999992","15","true","38","6.699999999999992","0","true"
"5371","6.799999999999992","15","true","37","6.799999999999992","0","true"
"5380","6.8999999999999915","15","true","35","6.8999999999999915","0","true"
"5383","6.999999999999991","15","true","34","6.999999999999991","0","true"
"5394","7.099999999999991","15","true","32","7.099999999999991","0","true"
"5399","7.19999999999999","15","true","32","7.19999999999999","0","true"
"5405","7.29999999999999","15","true","30","7.29999999999999","0","true"
"5414","7.39999999999999","15","true","30","7.39999999999999","0","true"
"5418","7.499999999999989","15","true","28","7.499999999999989","0","true"
"5420","7.599999999999989","15","true","27","7.599999999999989","0","true"
"5425","7.699999999999989","15","true","26","7.699999999999989","0","true"
"5428","7.799999999999988","15","true","26","7.799999999999988","0","true"
"5432","7.899999999999988","15","true","25","7.899999999999988","0","true"
"5436","7.999999999999988","15","true","24","7.999999999999988","0","true"
"5447","8.099999999999987","15","true","23","8.099999999999987","0","true"
"5455","8.199999999999987","15","true","23","8.199999999999987","0","true"
"5461","8.299999999999986","15","true","21","8.299999999999986","0","true"
"5464","8.399999999999986","15","true","21","8.399999999999986","0","true"
"5474","8.499999999999986","15","true","21","8.499999999999986","0","true"
"5477","8.599999999999985","15","true","20","8.599999999999985","0","true"
"5484","8.699999999999985","15","true","20","8.699999999999985","0","true"
"5487","8.799999999999985","15","true","20","8.799999999999985","0","true"
"5489","8.899999999999984","15","true","20","8.899999999999984","0","true"
"5489","8.999999999999984","15","true","18","8.999999999999984","0","true"
"5501","9.099999999999984","15","true","18","9.099999999999984","0","true"
"5504","9.199999999999983","15","true","18","9.199999999999983","0","true"
"5506","9.299999999999983","15","true","18","9.299999999999983","0","true"
"5511","9.399999999999983","15","true","18","9.399999999999983","0","true"
"5517","9.499999999999982","15","true","18","9.499999999999982","0","true"
"5520","9.599999999999982","15","true","17","9.599999999999982","0","true"
"5522","9.699999999999982","15","true","16","9.699999999999982","0","true"
"5527","9.799999999999981","15","true","16","9.799999999999981","0","true"
"5531","9.89999999999998","15","true","16","9.89999999999998","0","true"
"5533","9.99999999999998","15","true","14","9.99999999999998","0","true"
"""Trades Each Round"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"1","10","0","5","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","5"

"""default"""
"x","y","color","pen down?"
"1","0","0","true"
"2","0","0","true"
"3","0","0","true"
"4","0","0","true"
"5","0","0","true"
"""Final Excess Demand & Supply"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
