"export-plots data (NetLogo 6.2.2)"
"Chapter 5-Red Cross Parcels.nlogo"
"10/12/2022 15:13:50:956 +0800"

"MODEL SETTINGS"
"number-of-rounds","%smokers","initialchocs","reach","number-of-runs","pricesetting"
"5","70","50","200","2","""Random"""

"""Initial Excess Demand & Supply"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","7030","0","10","true","""demand""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""supply""","true","0","1","15","5626"
"""demand""","true","0","1","0","23"

"""supply""",,,,"""demand"""
"x","y","color","pen down?","x","y","color","pen down?"
"627","0.1","15","true","34500","0.1","0","true"
"1160","0.2","15","true","15095","0.2","0","true"
"1594","0.30000000000000004","15","true","8873","0.30000000000000004","0","true"
"2006","0.4","15","true","5968","0.4","0","true"
"2356","0.5","15","true","4328","0.5","0","true"
"2645","0.6","15","true","3278","0.6","0","true"
"2908","0.7","15","true","2594","0.7","0","true"
"3146","0.7999999999999999","15","true","2119","0.7999999999999999","0","true"
"3349","0.8999999999999999","15","true","1766","0.8999999999999999","0","true"
"3520","0.9999999999999999","15","true","1512","0.9999999999999999","0","true"
"3692","1.0999999999999999","15","true","1308","1.0999999999999999","0","true"
"3834","1.2","15","true","1143","1.2","0","true"
"3950","1.3","15","true","1013","1.3","0","true"
"4068","1.4000000000000001","15","true","903","1.4000000000000001","0","true"
"4159","1.5000000000000002","15","true","814","1.5000000000000002","0","true"
"4260","1.6000000000000003","15","true","736","1.6000000000000003","0","true"
"4331","1.7000000000000004","15","true","665","1.7000000000000004","0","true"
"4406","1.8000000000000005","15","true","609","1.8000000000000005","0","true"
"4474","1.9000000000000006","15","true","557","1.9000000000000006","0","true"
"4527","2.0000000000000004","15","true","512","2.0000000000000004","0","true"
"4580","2.1000000000000005","15","true","473","2.1000000000000005","0","true"
"4638","2.2000000000000006","15","true","436","2.2000000000000006","0","true"
"4679","2.3000000000000007","15","true","403","2.3000000000000007","0","true"
"4713","2.400000000000001","15","true","369","2.400000000000001","0","true"
"4758","2.500000000000001","15","true","348","2.500000000000001","0","true"
"4800","2.600000000000001","15","true","323","2.600000000000001","0","true"
"4834","2.700000000000001","15","true","298","2.700000000000001","0","true"
"4865","2.800000000000001","15","true","280","2.800000000000001","0","true"
"4898","2.9000000000000012","15","true","257","2.9000000000000012","0","true"
"4927","3.0000000000000013","15","true","246","3.0000000000000013","0","true"
"4957","3.1000000000000014","15","true","227","3.1000000000000014","0","true"
"4977","3.2000000000000015","15","true","214","3.2000000000000015","0","true"
"5003","3.3000000000000016","15","true","198","3.3000000000000016","0","true"
"5031","3.4000000000000017","15","true","187","3.4000000000000017","0","true"
"5050","3.5000000000000018","15","true","179","3.5000000000000018","0","true"
"5072","3.600000000000002","15","true","165","3.600000000000002","0","true"
"5083","3.700000000000002","15","true","156","3.700000000000002","0","true"
"5105","3.800000000000002","15","true","150","3.800000000000002","0","true"
"5116","3.900000000000002","15","true","142","3.900000000000002","0","true"
"5152","4.000000000000002","15","true","133","4.000000000000002","0","true"
"5167","4.100000000000001","15","true","129","4.100000000000001","0","true"
"5179","4.200000000000001","15","true","122","4.200000000000001","0","true"
"5196","4.300000000000001","15","true","116","4.300000000000001","0","true"
"5217","4.4","15","true","112","4.4","0","true"
"5232","4.5","15","true","109","4.5","0","true"
"5251","4.6","15","true","103","4.6","0","true"
"5270","4.699999999999999","15","true","101","4.699999999999999","0","true"
"5285","4.799999999999999","15","true","97","4.799999999999999","0","true"
"5293","4.899999999999999","15","true","93","4.899999999999999","0","true"
"5308","4.999999999999998","15","true","91","4.999999999999998","0","true"
"5318","5.099999999999998","15","true","87","5.099999999999998","0","true"
"5328","5.1999999999999975","15","true","85","5.1999999999999975","0","true"
"5335","5.299999999999997","15","true","80","5.299999999999997","0","true"
"5344","5.399999999999997","15","true","78","5.399999999999997","0","true"
"5354","5.4999999999999964","15","true","77","5.4999999999999964","0","true"
"5367","5.599999999999996","15","true","75","5.599999999999996","0","true"
"5377","5.699999999999996","15","true","72","5.699999999999996","0","true"
"5385","5.799999999999995","15","true","69","5.799999999999995","0","true"
"5394","5.899999999999995","15","true","68","5.899999999999995","0","true"
"5404","5.999999999999995","15","true","65","5.999999999999995","0","true"
"5415","6.099999999999994","15","true","62","6.099999999999994","0","true"
"5420","6.199999999999994","15","true","61","6.199999999999994","0","true"
"5434","6.299999999999994","15","true","59","6.299999999999994","0","true"
"5439","6.399999999999993","15","true","59","6.399999999999993","0","true"
"5450","6.499999999999993","15","true","57","6.499999999999993","0","true"
"5460","6.5999999999999925","15","true","54","6.5999999999999925","0","true"
"5466","6.699999999999992","15","true","53","6.699999999999992","0","true"
"5472","6.799999999999992","15","true","52","6.799999999999992","0","true"
"5475","6.8999999999999915","15","true","49","6.8999999999999915","0","true"
"5489","6.999999999999991","15","true","48","6.999999999999991","0","true"
"5495","7.099999999999991","15","true","48","7.099999999999991","0","true"
"5500","7.19999999999999","15","true","46","7.19999999999999","0","true"
"5507","7.29999999999999","15","true","45","7.29999999999999","0","true"
"5512","7.39999999999999","15","true","45","7.39999999999999","0","true"
"5517","7.499999999999989","15","true","43","7.499999999999989","0","true"
"5520","7.599999999999989","15","true","41","7.599999999999989","0","true"
"5525","7.699999999999989","15","true","41","7.699999999999989","0","true"
"5530","7.799999999999988","15","true","39","7.799999999999988","0","true"
"5532","7.899999999999988","15","true","38","7.899999999999988","0","true"
"5538","7.999999999999988","15","true","37","7.999999999999988","0","true"
"5544","8.099999999999987","15","true","34","8.099999999999987","0","true"
"5554","8.199999999999987","15","true","34","8.199999999999987","0","true"
"5559","8.299999999999986","15","true","34","8.299999999999986","0","true"
"5564","8.399999999999986","15","true","33","8.399999999999986","0","true"
"5567","8.499999999999986","15","true","32","8.499999999999986","0","true"
"5572","8.599999999999985","15","true","32","8.599999999999985","0","true"
"5576","8.699999999999985","15","true","31","8.699999999999985","0","true"
"5582","8.799999999999985","15","true","31","8.799999999999985","0","true"
"5586","8.899999999999984","15","true","29","8.899999999999984","0","true"
"5586","8.999999999999984","15","true","28","8.999999999999984","0","true"
"5596","9.099999999999984","15","true","28","9.099999999999984","0","true"
"5600","9.199999999999983","15","true","27","9.199999999999983","0","true"
"5603","9.299999999999983","15","true","27","9.299999999999983","0","true"
"5606","9.399999999999983","15","true","26","9.399999999999983","0","true"
"5610","9.499999999999982","15","true","26","9.499999999999982","0","true"
"5616","9.599999999999982","15","true","25","9.599999999999982","0","true"
"5618","9.699999999999982","15","true","24","9.699999999999982","0","true"
"5621","9.799999999999981","15","true","23","9.799999999999981","0","true"
"5625","9.89999999999998","15","true","23","9.89999999999998","0","true"
"5626","9.99999999999998","15","true","23","9.99999999999998","0","true"
"""Trades Each Round"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"1","10","0","5","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","5"

"""default"""
"x","y","color","pen down?"
"1","0","0","true"
"2","0","0","true"
"3","0","0","true"
"4","0","0","true"
"5","0","0","true"
"""Final Excess Demand & Supply"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","7030","0","10","true","""demand""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""supply""","true","0","1","15","5626"
"""demand""","true","0","1","0","23"

"""supply""",,,,"""demand"""
"x","y","color","pen down?","x","y","color","pen down?"
"627","0.1","15","true","34500","0.1","0","true"
"1160","0.2","15","true","15095","0.2","0","true"
"1594","0.30000000000000004","15","true","8873","0.30000000000000004","0","true"
"2006","0.4","15","true","5968","0.4","0","true"
"2356","0.5","15","true","4328","0.5","0","true"
"2645","0.6","15","true","3278","0.6","0","true"
"2908","0.7","15","true","2594","0.7","0","true"
"3146","0.7999999999999999","15","true","2119","0.7999999999999999","0","true"
"3349","0.8999999999999999","15","true","1766","0.8999999999999999","0","true"
"3520","0.9999999999999999","15","true","1512","0.9999999999999999","0","true"
"3692","1.0999999999999999","15","true","1308","1.0999999999999999","0","true"
"3834","1.2","15","true","1143","1.2","0","true"
"3950","1.3","15","true","1013","1.3","0","true"
"4068","1.4000000000000001","15","true","903","1.4000000000000001","0","true"
"4159","1.5000000000000002","15","true","814","1.5000000000000002","0","true"
"4260","1.6000000000000003","15","true","736","1.6000000000000003","0","true"
"4331","1.7000000000000004","15","true","665","1.7000000000000004","0","true"
"4406","1.8000000000000005","15","true","609","1.8000000000000005","0","true"
"4474","1.9000000000000006","15","true","557","1.9000000000000006","0","true"
"4527","2.0000000000000004","15","true","512","2.0000000000000004","0","true"
"4580","2.1000000000000005","15","true","473","2.1000000000000005","0","true"
"4638","2.2000000000000006","15","true","436","2.2000000000000006","0","true"
"4679","2.3000000000000007","15","true","403","2.3000000000000007","0","true"
"4713","2.400000000000001","15","true","369","2.400000000000001","0","true"
"4758","2.500000000000001","15","true","348","2.500000000000001","0","true"
"4800","2.600000000000001","15","true","323","2.600000000000001","0","true"
"4834","2.700000000000001","15","true","298","2.700000000000001","0","true"
"4865","2.800000000000001","15","true","280","2.800000000000001","0","true"
"4898","2.9000000000000012","15","true","257","2.9000000000000012","0","true"
"4927","3.0000000000000013","15","true","246","3.0000000000000013","0","true"
"4957","3.1000000000000014","15","true","227","3.1000000000000014","0","true"
"4977","3.2000000000000015","15","true","214","3.2000000000000015","0","true"
"5003","3.3000000000000016","15","true","198","3.3000000000000016","0","true"
"5031","3.4000000000000017","15","true","187","3.4000000000000017","0","true"
"5050","3.5000000000000018","15","true","179","3.5000000000000018","0","true"
"5072","3.600000000000002","15","true","165","3.600000000000002","0","true"
"5083","3.700000000000002","15","true","156","3.700000000000002","0","true"
"5105","3.800000000000002","15","true","150","3.800000000000002","0","true"
"5116","3.900000000000002","15","true","142","3.900000000000002","0","true"
"5152","4.000000000000002","15","true","133","4.000000000000002","0","true"
"5167","4.100000000000001","15","true","129","4.100000000000001","0","true"
"5179","4.200000000000001","15","true","122","4.200000000000001","0","true"
"5196","4.300000000000001","15","true","116","4.300000000000001","0","true"
"5217","4.4","15","true","112","4.4","0","true"
"5232","4.5","15","true","109","4.5","0","true"
"5251","4.6","15","true","103","4.6","0","true"
"5270","4.699999999999999","15","true","101","4.699999999999999","0","true"
"5285","4.799999999999999","15","true","97","4.799999999999999","0","true"
"5293","4.899999999999999","15","true","93","4.899999999999999","0","true"
"5308","4.999999999999998","15","true","91","4.999999999999998","0","true"
"5318","5.099999999999998","15","true","87","5.099999999999998","0","true"
"5328","5.1999999999999975","15","true","85","5.1999999999999975","0","true"
"5335","5.299999999999997","15","true","80","5.299999999999997","0","true"
"5344","5.399999999999997","15","true","78","5.399999999999997","0","true"
"5354","5.4999999999999964","15","true","77","5.4999999999999964","0","true"
"5367","5.599999999999996","15","true","75","5.599999999999996","0","true"
"5377","5.699999999999996","15","true","72","5.699999999999996","0","true"
"5385","5.799999999999995","15","true","69","5.799999999999995","0","true"
"5394","5.899999999999995","15","true","68","5.899999999999995","0","true"
"5404","5.999999999999995","15","true","65","5.999999999999995","0","true"
"5415","6.099999999999994","15","true","62","6.099999999999994","0","true"
"5420","6.199999999999994","15","true","61","6.199999999999994","0","true"
"5434","6.299999999999994","15","true","59","6.299999999999994","0","true"
"5439","6.399999999999993","15","true","59","6.399999999999993","0","true"
"5450","6.499999999999993","15","true","57","6.499999999999993","0","true"
"5460","6.5999999999999925","15","true","54","6.5999999999999925","0","true"
"5466","6.699999999999992","15","true","53","6.699999999999992","0","true"
"5472","6.799999999999992","15","true","52","6.799999999999992","0","true"
"5475","6.8999999999999915","15","true","49","6.8999999999999915","0","true"
"5489","6.999999999999991","15","true","48","6.999999999999991","0","true"
"5495","7.099999999999991","15","true","48","7.099999999999991","0","true"
"5500","7.19999999999999","15","true","46","7.19999999999999","0","true"
"5507","7.29999999999999","15","true","45","7.29999999999999","0","true"
"5512","7.39999999999999","15","true","45","7.39999999999999","0","true"
"5517","7.499999999999989","15","true","43","7.499999999999989","0","true"
"5520","7.599999999999989","15","true","41","7.599999999999989","0","true"
"5525","7.699999999999989","15","true","41","7.699999999999989","0","true"
"5530","7.799999999999988","15","true","39","7.799999999999988","0","true"
"5532","7.899999999999988","15","true","38","7.899999999999988","0","true"
"5538","7.999999999999988","15","true","37","7.999999999999988","0","true"
"5544","8.099999999999987","15","true","34","8.099999999999987","0","true"
"5554","8.199999999999987","15","true","34","8.199999999999987","0","true"
"5559","8.299999999999986","15","true","34","8.299999999999986","0","true"
"5564","8.399999999999986","15","true","33","8.399999999999986","0","true"
"5567","8.499999999999986","15","true","32","8.499999999999986","0","true"
"5572","8.599999999999985","15","true","32","8.599999999999985","0","true"
"5576","8.699999999999985","15","true","31","8.699999999999985","0","true"
"5582","8.799999999999985","15","true","31","8.799999999999985","0","true"
"5586","8.899999999999984","15","true","29","8.899999999999984","0","true"
"5586","8.999999999999984","15","true","28","8.999999999999984","0","true"
"5596","9.099999999999984","15","true","28","9.099999999999984","0","true"
"5600","9.199999999999983","15","true","27","9.199999999999983","0","true"
"5603","9.299999999999983","15","true","27","9.299999999999983","0","true"
"5606","9.399999999999983","15","true","26","9.399999999999983","0","true"
"5610","9.499999999999982","15","true","26","9.499999999999982","0","true"
"5616","9.599999999999982","15","true","25","9.599999999999982","0","true"
"5618","9.699999999999982","15","true","24","9.699999999999982","0","true"
"5621","9.799999999999981","15","true","23","9.799999999999981","0","true"
"5625","9.89999999999998","15","true","23","9.89999999999998","0","true"
"5626","9.99999999999998","15","true","23","9.99999999999998","0","true"
"""Prices"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"1","10","0","5","true","""max""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""max""","true","0","1","15","0"
"""av""","true","0","1","65","0"
"""min""","true","0","1","105","0"

"""max""",,,,"""av""",,,,"""min"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"""% Change in Total Utility"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"1","10","0","10","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","5"

"""default"""
"x","y","color","pen down?"
"1","0","0","true"
"2","0","0","true"
"3","0","0","true"
"4","0","0","true"
"5","0","0","true"
"""Cum % Traded"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"1","10","0","100","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","5"

"""default"""
"x","y","color","pen down?"
"1","0","0","true"
"2","0","0","true"
"3","0","0","true"
"4","0","0","true"
"5","0","0","true"
"""Utility"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","200","0","20","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","0"

"""default"""
"x","y","color","pen down?"
"""Total Expenditure"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","1000","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","5"

"""default"""
"x","y","color","pen down?"
"1","0","0","true"
"2","0","0","true"
"3","0","0","true"
"4","0","0","true"
"5","0","0","true"
"""Av Quantity Traded"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","5"

"""default"""
"x","y","color","pen down?"
"1","0","0","true"
"2","0","0","true"
"3","0","0","true"
